model,input_name,input_type,input_shape,run_seconds,iterations,baseline_gpu_mem_mb,peak_gpu_mem_mb,peak_delta_mb,status,error
YOLOv8m_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,81,39.0,5299.0,5260.0,ok,
YOLOv8m_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,33,39.0,17971.0,17932.0,ok,
YOLOv8m_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,467,39.0,1973.0,1934.0,ok,
YOLOv8m_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,84,39.0,5299.0,5260.0,ok,
YOLOv8m_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,180,39.0,2995.0,2956.0,ok,
YOLOv8m_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,49,39.0,9525.0,9486.0,ok,
YOLOv8n_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,147,39.0,1987.0,1948.0,ok,
YOLOv8n_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,49,39.0,5059.0,5020.0,ok,
YOLOv8n_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,955,39.0,1219.0,1180.0,ok,
YOLOv8n_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,151,39.0,1987.0,1948.0,ok,
YOLOv8n_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,440,39.0,1475.0,1436.0,ok,
YOLOv8n_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,83,39.0,3011.0,2972.0,ok,
YOLOv8x_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,62,39.0,9141.0,9102.0,ok,
YOLOv8x_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,21,39.0,18357.0,18318.0,ok,
YOLOv8x_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,177,39.0,3001.0,2962.0,ok,
YOLOv8x_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,61,39.0,5045.0,5006.0,ok,
YOLOv8x_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,89,39.0,5045.0,5006.0,ok,
YOLOv8x_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,34,39.0,9653.0,9614.0,ok,
alexnet_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,593,39.0,1975.0,1936.0,ok,
alexnet_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,2164,39.0,1595.0,1556.0,ok,
alexnet_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,1124,39.0,1975.0,1936.0,ok,
densenet121_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,93,39.0,5235.0,5196.0,ok,
densenet121_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,37,39.0,17875.0,17836.0,ok,
densenet121_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,341,39.0,2035.0,1996.0,ok,
densenet121_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,105,39.0,5203.0,5164.0,ok,
densenet121_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,184,39.0,3123.0,3084.0,ok,
densenet121_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,63,39.0,9459.0,9420.0,ok,
densenet169_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,81,39.0,5235.0,5196.0,ok,
densenet169_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,32,39.0,17907.0,17868.0,ok,
densenet169_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,283,39.0,1971.0,1932.0,ok,
densenet169_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,79,39.0,5235.0,5196.0,ok,
densenet169_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,145,39.0,3123.0,3084.0,ok,
densenet169_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,50,39.0,9459.0,9420.0,ok,
densenet201_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,65,39.0,5299.0,5260.0,ok,
densenet201_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,27,39.0,17971.0,17932.0,ok,
densenet201_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,245,39.0,1971.0,1932.0,ok,
densenet201_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,78,39.0,5299.0,5260.0,ok,
densenet201_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,135,39.0,3123.0,3084.0,ok,
densenet201_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,48,39.0,9523.0,9484.0,ok,
mobilenet_v2_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,233,39.0,5703.0,5664.0,ok,
mobilenet_v2_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,63,39.0,19911.0,19872.0,ok,
mobilenet_v2_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,827,39.0,1973.0,1934.0,ok,
mobilenet_v2_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,207,39.0,5715.0,5676.0,ok,
mobilenet_v2_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,432,39.0,3349.0,3310.0,ok,
mobilenet_v2_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,114,39.0,10451.0,10412.0,ok,
mobilenet_v3_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,315,39.0,3031.0,2992.0,ok,
mobilenet_v3_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,80,39.0,9171.0,9132.0,ok,
mobilenet_v3_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,1231,39.0,1463.0,1424.0,ok,
mobilenet_v3_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,371,39.0,3027.0,2988.0,ok,
