model,input_name,input_type,input_shape,run_seconds,iterations,baseline_gpu_mem_mb,peak_gpu_mem_mb,peak_delta_mb,status,error
YOLOv8m_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,82,39.0,5297.0,5258.0,ok,
YOLOv8m_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,32,39.0,17971.0,17932.0,ok,
YOLOv8m_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,370,39.0,1969.0,1930.0,ok,
YOLOv8m_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,81,39.0,5297.0,5258.0,ok,
YOLOv8m_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,178,39.0,2995.0,2956.0,ok,
YOLOv8m_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,51,39.0,9521.0,9482.0,ok,
YOLOv8n_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,147,39.0,1985.0,1946.0,ok,
YOLOv8n_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,48,39.0,5057.0,5018.0,ok,
YOLOv8n_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,874,39.0,1217.0,1178.0,ok,
YOLOv8n_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,149,39.0,1985.0,1946.0,ok,
YOLOv8n_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,426,39.0,1473.0,1434.0,ok,
YOLOv8n_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,82,39.0,3009.0,2970.0,ok,
YOLOv8x_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,56,39.0,9139.0,9100.0,ok,
YOLOv8x_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,20,39.0,34737.0,34698.0,ok,
YOLOv8x_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,187,39.0,2993.0,2954.0,ok,
YOLOv8x_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,61,39.0,5043.0,5004.0,ok,
YOLOv8x_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,96,39.0,5043.0,5004.0,ok,
YOLOv8x_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,33,39.0,9651.0,9612.0,ok,
alexnet_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,630,39.0,1973.0,1934.0,ok,
alexnet_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,2035,39.0,1553.0,1514.0,ok,
alexnet_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,1009,39.0,1589.0,1550.0,ok,
densenet121_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,94,39.0,5233.0,5194.0,ok,
densenet121_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,38,39.0,17905.0,17866.0,ok,
densenet121_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,364,39.0,2033.0,1994.0,ok,
densenet121_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,98,39.0,5233.0,5194.0,ok,
densenet121_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,177,39.0,3121.0,3082.0,ok,
densenet121_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,64,39.0,9457.0,9418.0,ok,
densenet169_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,82,39.0,5233.0,5194.0,ok,
densenet169_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,33,39.0,17905.0,17866.0,ok,
densenet169_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,270,39.0,1969.0,1930.0,ok,
densenet169_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,80,39.0,5233.0,5194.0,ok,
densenet169_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,149,39.0,3121.0,3082.0,ok,
densenet169_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,52,39.0,9457.0,9418.0,ok,
densenet201_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,67,39.0,5299.0,5260.0,ok,
densenet201_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,27,39.0,17973.0,17934.0,ok,
densenet201_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,188,39.0,1969.0,1930.0,ok,
densenet201_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,65,39.0,5297.0,5258.0,ok,
densenet201_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,139,39.0,3121.0,3082.0,ok,
densenet201_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,47,39.0,9521.0,9482.0,ok,
mobilenet_v2_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,213,39.0,5713.0,5674.0,ok,
mobilenet_v2_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,64,39.0,19907.0,19868.0,ok,
mobilenet_v2_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,874,39.0,1969.0,1930.0,ok,
mobilenet_v2_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,221,39.0,5713.0,5674.0,ok,
mobilenet_v2_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,426,39.0,3333.0,3294.0,ok,
mobilenet_v2_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,125,39.0,10449.0,10410.0,ok,
mobilenet_v3_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,281,39.0,3025.0,2986.0,ok,
