model,input_name,input_type,input_shape,run_seconds,iterations,baseline_gpu_mem_mb,peak_gpu_mem_mb,peak_delta_mb,status,error
YOLOv8m_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,185,509.5,5770.1,5260.6,ok,
YOLOv8m_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,46,509.5,18442.1,17932.6,ok,
YOLOv8m_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,835,509.5,2442.1,1932.6,ok,
YOLOv8m_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,182,509.5,5772.1,5262.6,ok,
YOLOv8m_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,416,509.5,3466.1,2956.6,ok,
YOLOv8m_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,91,509.5,9994.1,9484.6,ok,
YOLOv8n_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,369,509.5,2458.1,1948.6,ok,
YOLOv8n_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,83,509.5,5530.1,5020.6,ok,
YOLOv8n_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,2248,509.5,1690.1,1180.6,ok,
YOLOv8n_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,372,509.5,2458.1,1948.6,ok,
YOLOv8n_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,1111,509.5,1946.1,1436.6,ok,
YOLOv8n_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,165,509.5,3482.1,2972.6,ok,
YOLOv8x_bs128_224x224.onnx,images,tensor(float),128x3x224x224,20.0,99,509.5,9612.1,9102.6,ok,
YOLOv8x_bs128_448x448.onnx,images,tensor(float),128x3x448x448,20.0,26,509.5,18826.1,18316.6,ok,
YOLOv8x_bs32_224x224.onnx,images,tensor(float),32x3x224x224,20.0,394,509.5,3468.1,2958.6,ok,
YOLOv8x_bs32_448x448.onnx,images,tensor(float),32x3x448x448,20.0,101,509.5,5514.1,5004.6,ok,
YOLOv8x_bs64_224x224.onnx,images,tensor(float),64x3x224x224,20.0,205,509.5,5516.1,5006.6,ok,
YOLOv8x_bs64_448x448.onnx,images,tensor(float),64x3x448x448,20.0,49,509.5,10122.1,9612.6,ok,
alexnet_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,1615,509.5,2538.1,2028.6,ok,
alexnet_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,5977,509.5,1938.1,1428.6,ok,
alexnet_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,3273,509.5,2058.1,1548.6,ok,
densenet121_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,201,509.5,5706.1,5196.6,ok,
densenet121_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,53,509.5,18346.1,17836.6,ok,
densenet121_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,727,509.5,2506.1,1996.6,ok,
densenet121_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,202,509.5,5706.1,5196.6,ok,
densenet121_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,383,509.5,3562.1,3052.6,ok,
densenet121_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,104,509.5,9898.1,9388.6,ok,
densenet169_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,161,509.5,5706.1,5196.6,ok,
densenet169_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,43,509.5,18378.1,17868.6,ok,
densenet169_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,571,509.5,2442.1,1932.6,ok,
densenet169_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,165,509.5,5706.1,5196.6,ok,
densenet169_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,308,509.5,3594.1,3084.6,ok,
densenet169_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,85,509.5,9930.1,9420.6,ok,
densenet201_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,124,509.5,5770.1,5260.6,ok,
densenet201_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,33,509.5,18442.1,17932.6,ok,
densenet201_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,429,509.5,2442.1,1932.6,ok,
densenet201_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,126,509.5,5770.1,5260.6,ok,
densenet201_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,237,509.5,3594.1,3084.6,ok,
densenet201_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,66,509.5,9994.1,9484.6,ok,
mobilenet_v2_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,481,509.5,6172.1,5662.6,ok,
mobilenet_v2_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,128,509.5,20394.1,19884.6,ok,
mobilenet_v2_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,1940,509.5,2442.1,1932.6,ok,
mobilenet_v2_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,484,509.5,6186.1,5676.6,ok,
mobilenet_v2_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,959,509.5,3818.1,3308.6,ok,
mobilenet_v2_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,250,509.5,10910.1,10400.6,ok,
mobilenet_v3_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,641,509.5,3498.1,2988.6,ok,
mobilenet_v3_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,167,509.5,9642.1,9132.6,ok,
mobilenet_v3_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,2523,509.5,1930.1,1420.6,ok,
mobilenet_v3_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,650,509.5,3498.1,2988.6,ok,
mobilenet_v3_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,1281,509.5,2474.1,1964.6,ok,
mobilenet_v3_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,340,509.5,5546.1,5036.6,ok,
resnet152_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,166,509.5,5514.1,5004.6,ok,
resnet152_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,44,509.5,18570.1,18060.6,ok,
resnet152_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,513,509.5,2442.1,1932.6,ok,
resnet152_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,162,509.5,5514.1,5004.6,ok,
resnet152_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,303,509.5,3468.1,2958.6,ok,
resnet152_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,85,509.5,10124.1,9614.6,ok,
resnet18_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,811,509.5,2634.1,2124.6,ok,
resnet18_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,218,509.5,6090.1,5580.6,ok,
resnet18_bs32_224x224.onnx,input,tensor(float),32x3x224x224,20.0,3084,509.5,1928.1,1418.6,ok,
resnet18_bs32_448x448.onnx,input,tensor(float),32x3x448x448,20.0,883,509.5,2634.1,2124.6,ok,
resnet18_bs64_224x224.onnx,input,tensor(float),64x3x224x224,20.0,1616,509.5,2058.1,1548.6,ok,
resnet18_bs64_448x448.onnx,input,tensor(float),64x3x448x448,20.0,436,509.5,3786.1,3276.6,ok,
resnet50_bs128_224x224.onnx,input,tensor(float),128x3x224x224,20.0,353,509.5,5774.1,5264.6,ok,
resnet50_bs128_448x448.onnx,input,tensor(float),128x3x448x448,20.0,92,509.5,18444.1,17934.6,ok,
